Year,Gas production(m³),Coal production(Ton),Oil production(m³),Gas production per capita(m³),Coal production per capita(Ton),Oil production per capita(m³),Population
84021,33139040000.0,21176000.0,0.0,2561.551,0.705773,0.0,957120000.0
84021,5321240000.0,24100959.0,53165100.0,1755.393,7.989517,17.8919,126792000.0
97853,2661610000000.0,268900.0,3520530000.0,84249.5,0.01093799,127.55199999999999,1437530000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,1317840.0
97853,38281700000.0,0.0,2369052000.0,1878.65,0.0,124.9969,821135000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,3236630.0
84021,1235839000000.0,9053730.0,1420280000.0,32499.0,0.2760937,39.0891,1551950000.0
60195,0.0,0.0,0.0,0.0,0.0,0.0,90744000.0
72126,0.0,0.0,0.0,0.0,0.0,0.0,1858060.0
84021,1578194000000.0,12921900000.0,1120210000.0,75191.4,635.976,59.9637,825170000.0
84021,59964600000.0,48649000.0,46207300.0,7408.1,6.2715000000000005,5.7495,342492000.0
60195,306704000000.0,0.0,947670000.0,34242.9,0.0,104.907,263283000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,12825300.0
97853,367901000000.0,0.0,215683000.0,453346.0,0.0,299.836,38096500.0
84021,488460000000.0,12287930.0,6438970.0,3526.52,0.0798652,0.0462414,5298710000.0
84021,999826000.0,0.0,2711770.0,3704.92,0.0,10.0455,11400400.0
60195,4222760000.0,0.0,58244000.0,430.013,0.0,6.0155,289836000.0
84021,316405000.0,54047000.0,0.0,31.8701,5.45298,0.0,441781000.0
84021,0.0,0.0,1984320.0,0.0,0.0,6.0283999999999995,10891600.0
84021,0.0,0.0,4598740.0,0.0,0.0,0.942376,308459000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84021,0.0,2565926.0,0.0,0.0,3.8565647,0.0,25235700.0
84021,333724000000.0,0.0,78055000.0,35373.4,0.0,9.0712,359666000.0
60195,923000000.0,166142000.0,0.0,240.432,45.8268,0.0,109963000.0
84021,0.0,40722000.0,0.0,0.0,23.8383,0.0,68997300.0
84021,382150000000.0,246320000.0,3147130000.0,2028.891,1.47824,17.03047,7253300000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84021,427032000000.0,0.0,361719000.0,1350270.0,0.0,1209.2,13750500.0
84021,7583968000.0,1233970000.0,4383930.0,978.812,153.968,0.520404,337066000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,530670000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,303686000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,499773000.0
84021,8105900000.0,0.0,243697000.0,332.0,0.0,17.9388,693601000.0
97853,5843870000000.0,2618270000.0,6144360000.0,187905.0,85.902,200.222,1464550000.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,17800600.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84021,0.0,0.0,0.0,0.0,0.0,0.0,151605000.0
84021,0.0,0.0,129803000.0,0.0,0.0,10.5566,391876000.0
84021,62370000000.0,52277600.0,32469400.0,4223.44,3.5049799999999998,2.466525,643230000.0
