iso3166,count
US,10568
CA,1991
ES,1945
CN,1669
NZ,1264
AR,1088
UK,1039
FR,945
MN,793
AU,710
IT,664
MX,541
BR,502
ZA,401
GR,395
PT,373
RU,364
MG,363
JP,336
DE,326
MA,318
PF,291
UZ,290
RO,288
TZ,284
KR,245
IN,234
TO,211
BS,209
MP,191
EG,182
PE,176
PN,175
AA,172
ID,156
NC,154
KZ,146
LS,134
TH,131
GL,130
HU,129
CL,128
BO,126
CH,125
SH,120
VE,117
CK,117
MU,115
FI,115
NE,103
PK,102
EC,102
PG,87
BE,86
DZ,80
PL,74
KE,70
ZW,67
DO,66
BM,66
KY,63
UY,57
KG,56
UA,50
TN,46
AZ,46
VU,43
TJ,42
JO,42
NO,42
SD,40
MY,38
HR,37
TL,35
FJ,35
CD,34
GU,33
YE,32
DK,30
AT,29
HT,29
ET,28
TD,27
TF,26
PR,25
CO,24
PW,24
CZ,24
CM,23
LA,23
PH,22
MH,20
AG,19
MW,18
CU,18
SC,18
FA,18
BG,15
SE,15
IR,14
NL,12
LY,11
SA,10
SK,10
JM,10
MD,10
TM,9
SI,7
LB,7
GE,7
BB,6
IS,6
EE,6
ML,6
OM,5
SJ,5
MT,4
TR,4
PA,4
TW,3
AO,3
EH,3
IL,3
NG,3
LU,3
UG,2
AF,2
IE,2
KH,2
CY,2
MM,2
AM,1
ZM,1
ER,1
GP,1
KP,1
TG,1
PY,1
GY,1
HN,1
MZ,1
SN,1
SV,1
SY,1
IQ,1
AE,1
