country,count,volume,unit
us,10568,46355,million barrel a day
ca,1991,11623,million barrel a day
es,1945,83,million barrel a day
cn,1669,12721,million barrel a day
nz,1264,33,million barrel a day
ar,1088,1675,million barrel a day
mn,793,18,million barrel a day
au,710,1313,million barrel a day
it,664,290,million barrel a day
mx,541,5509,million barrel a day
br,502,9751,million barrel a day
za,401,110,million barrel a day
gr,395,17,million barrel a day
pt,373,13,million barrel a day
ru,364,30625,million barrel a day
jp,336,123,million barrel a day
de,326,214,million barrel a day
ma,318,0,million barrel a day
uz,290,87,million barrel a day
ro,288,159,million barrel a day
kr,245,118,million barrel a day
in,234,2312,million barrel a day
eg,182,1688,million barrel a day
pe,176,264,million barrel a day
id,156,2265,million barrel a day
nc,154,1,million barrel a day
kz,146,5141,million barrel a day
th,131,1033,million barrel a day
hu,129,38,million barrel a day
cl,128,19,million barrel a day
bo,126,78,million barrel a day
ch,125,1,million barrel a day
ve,117,1664,million barrel a day
fi,115,18,million barrel a day
ne,103,10,million barrel a day
pk,102,82,million barrel a day
ec,102,1442,million barrel a day
pg,87,40,million barrel a day
be,86,28,million barrel a day
dz,80,3636,million barrel a day
pl,74,64,million barrel a day
ke,70,0,million barrel a day
zw,67,1,million barrel a day
uy,57,2,million barrel a day
kg,56,1,million barrel a day
ua,50,62,million barrel a day
tn,46,71,million barrel a day
az,46,2033,million barrel a day
tj,42,0,million barrel a day
jo,42,0,million barrel a day
no,42,5700,million barrel a day
sd,40,153,million barrel a day
my,38,1781,million barrel a day
hr,37,17,million barrel a day
tl,35,14,million barrel a day
cd,34,630,million barrel a day
ye,32,203,million barrel a day
dk,30,221,million barrel a day
at,29,26,million barrel a day
td,27,348,million barrel a day
co,24,2390,million barrel a day
cz,24,20,million barrel a day
cm,23,140,million barrel a day
ph,22,27,million barrel a day
cu,18,42,million barrel a day
bg,15,6,million barrel a day
se,15,14,million barrel a day
ir,14,7877,million barrel a day
nl,12,77,million barrel a day
ly,11,1196,million barrel a day
sa,10,31262,million barrel a day
sk,10,7,million barrel a day
jm,10,1,million barrel a day
tm,9,446,million barrel a day
ge,7,0,million barrel a day
ee,6,23,million barrel a day
om,5,2672,million barrel a day
tr,4,83,million barrel a day
tw,3,30,million barrel a day
ao,3,3906,million barrel a day
il,3,7,million barrel a day
ng,3,5135,million barrel a day
ie,2,1,million barrel a day
mm,2,9,million barrel a day
zm,1,0,million barrel a day
kp,1,0,million barrel a day
py,1,9,million barrel a day
gy,1,156,million barrel a day
sy,1,103,million barrel a day
iq,1,12270,million barrel a day
ae,1,10222,million barrel a day
